Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
3.996,-1.290,3158
4.000,-1.968,3114
4.004,-1.910,3114
4.008,-1.683,3114
4.012,-1.327,3114
4.016,-0.860,3114
4.020,-0.367,3114
4.024,0.140,3114
4.028,0.627,3114
4.032,1.052,3114
4.036,1.300,3106
4.040,1.407,3106
4.044,1.330,3106
4.048,1.075,3106
4.052,0.688,3106
4.056,0.225,3106
4.060,-0.263,3106
4.064,-0.780,3106
4.068,-1.258,3106
4.072,-1.677,3106
4.076,-1.933,3125
4.080,-1.927,3125
4.084,-1.702,3125
4.088,-1.333,3125
4.092,-0.858,3125
4.096,-0.362,3125
4.100,0.150,3125
4.104,0.632,3125
4.108,1.038,3125
4.112,1.275,3109
4.116,1.387,3109
4.120,1.310,3109
4.124,1.052,3109
4.128,0.667,3109
4.132,0.198,3109
4.136,-0.295,3109
4.140,-0.812,3109
4.144,-1.288,3109
4.148,-1.683,3109
4.152,-1.927,3116
4.156,-2.007,3116
4.160,-1.625,3116
4.164,-1.302,3116
4.168,-0.843,3116
4.172,-0.362,3116
4.176,0.147,3116
4.180,0.620,3116
4.184,1.020,3116
4.188,1.260,3097
4.192,1.357,3097
4.196,1.270,3097
4.200,1.038,3097
4.204,0.660,3097
4.208,0.195,3097
4.212,-0.297,3097
4.216,-0.815,3097
4.220,-1.302,3097
4.224,-1.700,3097
4.228,-1.948,3105
4.232,-2.033,3105
4.236,-1.962,3105
4.240,-1.252,3105
4.244,-0.767,3105
4.248,-0.343,3105
4.252,0.147,3105
4.256,0.623,3105
4.260,1.028,3105
4.264,1.272,3119
4.268,1.380,3119
4.272,1.298,3119
4.276,1.038,3119
4.280,0.652,3119
4.284,0.188,3119
4.288,-0.323,3119
4.292,-0.828,3119
4.296,-1.310,3119
4.300,-1.700,3119
4.304,-1.950,3101
4.308,-2.038,3101
4.312,-1.962,3101
4.316,-1.718,3101
4.320,-0.802,3101
4.324,-0.380,3101
4.328,0.138,3101
4.332,0.625,3101
4.336,1.032,3101
4.340,1.300,3109
4.344,1.387,3109
4.348,1.312,3109
4.352,1.052,3109
4.356,0.675,3109
4.360,0.212,3109
4.364,-0.287,3109
4.368,-0.805,3109
4.372,-1.298,3109
4.376,-1.695,3109
4.380,-1.950,3127
4.384,-2.047,3127
4.388,-1.972,3127
4.392,-1.722,3127
4.396,-1.343,3127
4.400,-0.297,3127
4.404,0.233,3127
4.408,0.623,3127
4.412,1.012,3127
4.416,1.300,3129
4.420,1.383,3129
4.424,1.305,3129
4.428,1.052,3129
4.432,0.675,3129
4.436,0.212,3129
4.440,-0.302,3129
4.444,-0.785,3129
4.448,-1.258,3129
4.452,-1.663,3129
4.456,-1.927,3110
4.460,-2.018,3110
4.464,-1.948,3110
4.468,-1.712,3110
4.472,-1.337,3110
4.476,-0.880,3110
4.480,0.205,3110
4.484,0.593,3110
4.488,0.995,3110
4.492,1.248,3138
4.496,1.347,3138
4.500,1.268,3138
4.504,1.028,3138
4.508,0.632,3138
4.512,0.182,3138
4.516,-0.302,3138
4.520,-0.818,3138
4.524,-1.302,3138
4.528,-1.700,3138
4.532,-1.962,3139
4.536,-2.050,3139
4.540,-1.978,3139
4.544,-1.735,3139
4.548,-1.363,3139
4.552,-0.892,3139
4.556,-0.390,3139
4.560,0.688,3139
4.564,1.302,3132
4.568,1.387,3132
4.572,1.327,3132
4.576,1.077,3132
4.580,0.698,3132
4.584,0.233,3132
4.588,-0.253,3132
4.592,-0.767,3132
4.596,-1.250,3132
4.600,-1.657,3132
4.604,-1.903,3118
4.608,-2.013,3118
4.612,-1.948,3118
4.616,-1.710,3118
4.620,-1.345,3118
4.624,-0.882,3118
4.628,-0.393,3118
4.632,0.107,3118
4.636,0.590,3118
4.640,1.292,3142
4.644,1.298,3142
4.648,1.055,3142
4.652,0.675,3142
4.656,0.215,3142
4.660,-0.282,3142
4.664,-0.807,3142
4.668,-1.292,3142
4.672,-1.692,3142
4.676,-1.938,3115
4.680,-2.027,3115
4.684,-1.950,3115
4.688,-1.712,3115
4.692,-1.347,3115
4.696,-0.880,3115
4.700,-0.383,3115
4.704,0.130,3115
4.708,0.615,3115
4.712,1.028,3115
4.716,1.298,3143
4.720,1.312,3143
4.724,1.093,3143
4.728,0.708,3143
4.732,0.233,3143
4.736,-0.268,3143
4.740,-0.785,3143
4.744,-1.288,3143
4.748,-1.690,3143
4.752,-1.942,3136
4.756,-2.035,3136
4.760,-1.962,3136
4.764,-1.712,3136
4.768,-1.337,3136
4.772,-0.865,3136
4.776,-0.367,3136
4.780,0.147,3136
4.784,0.627,3136
4.788,1.050,3136
