Czas(s),PPG_Surowe(ADC)
3.564,-18710
3.568,-18710
3.572,-18710
3.576,-18710
3.580,-18710
3.584,-18713
3.588,-18713
3.592,-18713
3.596,-18713
3.600,-18713
3.604,-18713
3.608,-18713
3.612,-18713
3.616,-18713
3.620,-18707
3.624,-18707
3.628,-18707
3.632,-18707
3.636,-18707
3.640,-18707
3.644,-18707
3.648,-18707
3.652,-18707
3.656,-18707
3.660,-18692
3.664,-18692
3.668,-18692
3.672,-18692
3.676,-18692
3.680,-18692
3.684,-18692
3.688,-18692
3.692,-18692
3.696,-18693
3.700,-18693
3.704,-18693
3.708,-18693
3.712,-18693
3.716,-18693
3.720,-18693
3.724,-18693
3.728,-18693
3.732,-18693
3.736,-18649
3.740,-18649
3.744,-18649
3.748,-18649
3.752,-18649
3.756,-18649
3.760,-18649
3.764,-18649
3.768,-18649
3.772,-18642
3.776,-18642
3.780,-18642
3.784,-18642
3.788,-18642
3.792,-18642
3.796,-18642
3.800,-18642
3.804,-18642
3.808,-18642
3.812,-18609
3.816,-18609
3.820,-18609
3.824,-18609
3.828,-18609
3.832,-18609
3.836,-18609
3.840,-18609
3.844,-18609
3.848,-18587
3.852,-18587
3.856,-18587
3.860,-18587
3.864,-18587
3.868,-18587
3.872,-18587
3.876,-18587
3.880,-18587
3.884,-18587
3.888,-18588
3.892,-18588
3.896,-18588
3.900,-18588
3.904,-18588
3.908,-18588
3.912,-18588
3.916,-18588
3.920,-18588
3.924,-18588
3.928,-18588
3.932,-18588
3.936,-18588
3.940,-18588
3.944,-18588
3.948,-18588
3.952,-18588
3.956,-18588
3.960,-18588
3.964,-18588
3.968,-18620
3.972,-18620
3.976,-18620
3.980,-18620
3.984,-18620
3.988,-18620
3.992,-18620
3.996,-18620
4.000,-18634
4.004,-18634
4.008,-18634
4.012,-18634
4.016,-18634
4.020,-18634
4.024,-18634
4.028,-18634
4.032,-18634
4.036,-18634
4.040,-18634
4.044,-18622
4.048,-18622
4.052,-18622
4.056,-18622
4.060,-18622
4.064,-18622
4.068,-18622
4.072,-18622
4.076,-18622
4.080,-18614
4.084,-18614
4.088,-18614
4.092,-18614
4.096,-18614
4.100,-18614
4.104,-18614
4.108,-18614
4.112,-18614
4.116,-18614
4.120,-18583
4.124,-18583
4.128,-18583
4.132,-18583
4.136,-18583
4.140,-18583
4.144,-18583
4.148,-18583
4.152,-18583
4.156,-18583
4.160,-18583
4.164,-18583
4.168,-18583
4.172,-18583
4.176,-18583
4.180,-18583
4.184,-18583
4.188,-18583
4.192,-18583
4.196,-18597
4.200,-18597
4.204,-18597
4.208,-18597
4.212,-18597
4.216,-18597
4.220,-18597
4.224,-18597
4.228,-18597
4.232,-18597
4.236,-18556
4.240,-18556
4.244,-18556
4.248,-18556
4.252,-18556
4.256,-18556
4.260,-18556
4.264,-18556
4.268,-18556
4.272,-18561
4.276,-18561
4.280,-18561
4.284,-18561
4.288,-18561
4.292,-18561
4.296,-18561
4.300,-18561
4.304,-18561
4.308,-18561
4.312,-18552
4.316,-18552
4.320,-18552
4.324,-18552
4.328,-18552
4.332,-18552
4.336,-18552
4.340,-18552
4.344,-18552
4.348,-18534
4.352,-18534
4.356,-18534
4.360,-18534
4.364,-18534
4.368,-18534
4.372,-18534
4.376,-18534
4.380,-18534
4.384,-18534
4.388,-18505
4.392,-18505
4.396,-18505
4.400,-18505
4.404,-18505
4.408,-18505
4.412,-18505
4.416,-18505
4.420,-18505
4.424,-18479
4.428,-18479
4.432,-18479
4.436,-18479
4.440,-18479
4.444,-18479
4.448,-18479
4.452,-18479
4.456,-18479
4.460,-18479
4.464,-18436
4.468,-18436
4.472,-18436
4.476,-18436
4.480,-18436
4.484,-18436
4.488,-18436
4.492,-18436
4.496,-18436
4.500,-18450
4.504,-18450
4.508,-18450
4.512,-18450
4.516,-18450
4.520,-18450
4.524,-18450
4.528,-18450
4.532,-18450
4.536,-18450
4.540,-18446
4.544,-18446
4.548,-18446
4.552,-18446
4.556,-18446
4.560,-18446
4.564,-18446
4.568,-18446
4.572,-18446
4.576,-18441
4.580,-18441
4.584,-18441
4.588,-18441
4.592,-18441
4.596,-18441
4.600,-18441
4.604,-18441
4.608,-18441
4.612,-18441
4.616,-18430
4.620,-18430
4.624,-18430
4.628,-18430
4.632,-18430
4.636,-18430
4.640,-18430
4.644,-18430
4.648,-18430
4.652,-18424
4.656,-18424
4.660,-18424
4.664,-18424
4.668,-18424
4.672,-18424
4.676,-18424
4.680,-18424
4.684,-18424
4.688,-18424
4.692,-18393
4.696,-18393
4.700,-18393
4.704,-18393
4.708,-18393
4.712,-18393
4.716,-18393
4.720,-18393
4.724,-18393
4.728,-18360
4.732,-18360
4.736,-18360
4.740,-18360
4.744,-18360
4.748,-18360
4.752,-18360
4.756,-18360
4.760,-18360
4.764,-18360
4.768,-18328
4.772,-18328
4.776,-18328
4.780,-18328
4.784,-18328
4.788,-18328
4.792,-18328
4.796,-18328
4.800,-18328
4.804,-18338
4.808,-18338
4.812,-18338
4.816,-18338
4.820,-18338
4.824,-18338
4.828,-18338
4.832,-18338
4.836,-18338
4.840,-18338
4.844,-18349
4.848,-18349
4.852,-18349
4.856,-18349
4.860,-18349
4.864,-18349
4.868,-18349
4.872,-18349
4.876,-18349
4.880,-18327
4.884,-18327
4.888,-18327
4.892,-18327
4.896,-18327
4.900,-18327
4.904,-18327
4.908,-18327
4.912,-18327
4.916,-18327
4.920,-18300
4.924,-18300
4.928,-18300
4.932,-18300
4.936,-18300
4.940,-18300
4.944,-18300
4.948,-18300
4.952,-18300
4.956,-18300
4.960,-18298
4.964,-18298
4.968,-18298
4.972,-18298
4.976,-18298
4.980,-18298
4.984,-18298
4.988,-18298
4.992,-18298
4.996,-18298
5.000,-18318
5.004,-18318
5.008,-18318
5.012,-18318
5.016,-18318
5.020,-18318
5.024,-18318
5.028,-18318
5.032,-18318
5.036,-18318
5.040,-18299
5.044,-18299
5.048,-18299
5.052,-18299
5.056,-18299
5.060,-18299
5.064,-18299
5.068,-18299
5.072,-18299
5.076,-18312
5.080,-18312
5.084,-18312
5.088,-18312
5.092,-18312
5.096,-18312
5.100,-18312
5.104,-18312
5.108,-18312
5.112,-18312
5.116,-18297
5.120,-18297
5.124,-18297
5.128,-18297
5.132,-18297
5.136,-18297
5.140,-18297
5.144,-18297
5.148,-18297
5.152,-18281
5.156,-18281
5.160,-18281
5.164,-18281
5.168,-18281
5.172,-18281
5.176,-18281
5.180,-18281
5.184,-18281
5.188,-18281
5.192,-18296
5.196,-18296
5.200,-18296
5.204,-18296
5.208,-18296
5.212,-18296
5.216,-18296
5.220,-18296
5.224,-18296
5.228,-18268
5.232,-18268
5.236,-18268
5.240,-18268
5.244,-18268
5.248,-18268
5.252,-18268
5.256,-18268
5.260,-18268
5.264,-18268
5.268,-18275
5.272,-18275
5.276,-18275
5.280,-18275
5.284,-18275
5.288,-18275
5.292,-18275
5.296,-18275
5.300,-18275
5.304,-18241
5.308,-18241
5.312,-18241
5.316,-18241
5.320,-18241
5.324,-18241
5.328,-18241
5.332,-18241
5.336,-18241
5.340,-18241
5.344,-18232
5.348,-18232
5.352,-18232
5.356,-18232
5.360,-18232
5.364,-18232
5.368,-18232
5.372,-18232
5.376,-18232
5.380,-18200
5.384,-18200
5.388,-18200
5.392,-18200
5.396,-18200
5.400,-18200
5.404,-18200
5.408,-18200
5.412,-18200
5.416,-18200
5.420,-18182
5.424,-18182
5.428,-18182
5.432,-18182
5.436,-18182
5.440,-18182
5.444,-18182
5.448,-18182
5.452,-18182
5.456,-18143
5.460,-18143
5.464,-18143
5.468,-18143
5.472,-18143
5.476,-18143
5.480,-18143
5.484,-18143
5.488,-18143
5.492,-18143
5.496,-18139
5.500,-18139
5.504,-18139
5.508,-18139
5.512,-18139
5.516,-18139
5.520,-18139
5.524,-18139
5.528,-18139
5.532,-18126
5.536,-18126
5.540,-18126
5.544,-18126
5.548,-18126
5.552,-18126
5.556,-18126
5.560,-18126
5.564,-18126
5.568,-18126
5.572,-18104
5.576,-18104
5.580,-18104
5.584,-18104
5.588,-18104
5.592,-18104
5.596,-18104
5.600,-18104
5.604,-18104
5.608,-18076
5.612,-18076
5.616,-18076
5.620,-18076
5.624,-18076
5.628,-18076
5.632,-18076
5.636,-18076
5.640,-18076
5.644,-18076
5.648,-18088
5.652,-18088
5.656,-18088
5.660,-18088
5.664,-18088
5.668,-18088
5.672,-18088
5.676,-18088
5.680,-18088
5.684,-18049
5.688,-18049
5.692,-18049
5.696,-18049
5.700,-18049
5.704,-18049
5.708,-18049
5.712,-18049
5.716,-18049
5.720,-18049
5.724,-18033
5.728,-18033
5.732,-18033
5.736,-18033
5.740,-18033
5.744,-18033
5.748,-18033
5.752,-18033
5.756,-18033
5.760,-18015
5.764,-18015
5.768,-18015
5.772,-18015
5.776,-18015
5.780,-18015
5.784,-18015
5.788,-18015
5.792,-18015
5.796,-18015
5.800,-17997
5.804,-17997
5.808,-17997
5.812,-17997
5.816,-17997
5.820,-17997
5.824,-17997
5.828,-17997
5.832,-17997
5.836,-17997
5.840,-17962
5.844,-17962
5.848,-17962
5.852,-17962
5.856,-17962
5.860,-17962
5.864,-17962
5.868,-17962
5.872,-17962
5.876,-17951
5.880,-17951
5.884,-17951
5.888,-17951
5.892,-17951
5.896,-17951
5.900,-17951
5.904,-17951
5.908,-17951
5.912,-17951
5.916,-17940
5.920,-17940
5.924,-17940
5.928,-17940
5.932,-17940
5.936,-17940
5.940,-17940
5.944,-17940
5.948,-17940
5.952,-17941
5.956,-17941
5.960,-17941
5.964,-17941
5.968,-17941
5.972,-17941
5.976,-17941
5.980,-17941
5.984,-17941
5.988,-17941
5.992,-17947
5.996,-17947
6.000,-17947
6.004,-17947
6.008,-17947
6.012,-17947
6.016,-17947
6.020,-17947
6.024,-17947
6.028,-17964
6.032,-17964
6.036,-17964
6.040,-17964
6.044,-17964
6.048,-17964
6.052,-17964
6.056,-17964
6.060,-17964
6.064,-17964
6.068,-17964
6.072,-17948
6.076,-17948
6.080,-17948
6.084,-17948
6.088,-17948
6.092,-17948
6.096,-17948
6.100,-17948
6.104,-17948
6.108,-17950
6.112,-17950
6.116,-17950
6.120,-17950
6.124,-17950
6.128,-17950
6.132,-17950
6.136,-17950
6.140,-17950
6.144,-17950
6.148,-17985
6.152,-17985
6.156,-17985
6.160,-17985
6.164,-17985
6.168,-17985
6.172,-17985
6.176,-17985
6.180,-17985
6.184,-18022
6.188,-18022
6.192,-18022
6.196,-18022
6.200,-18022
6.204,-18022
6.208,-18022
6.212,-18022
6.216,-18022
6.220,-18022
6.224,-18069
6.228,-18069
6.232,-18069
6.236,-18069
6.240,-18069
6.244,-18069
6.248,-18069
6.252,-18069
6.256,-18069
6.260,-18160
6.264,-18160
6.268,-18160
6.272,-18160
6.276,-18160
6.280,-18160
6.284,-18160
6.288,-18160
6.292,-18160
6.296,-18160
6.300,-18222
6.304,-18222
6.308,-18222
6.312,-18222
6.316,-18222
6.320,-18222
6.324,-18222
6.328,-18222
6.332,-18222
6.336,-18286
6.340,-18286
6.344,-18286
6.348,-18286
6.352,-18286
6.356,-18286
6.360,-18286
6.364,-18286
6.368,-18286
6.372,-18286
6.376,-18353
6.380,-18353
6.384,-18353
6.388,-18353
6.392,-18353
6.396,-18353
6.400,-18353
6.404,-18353
6.408,-18353
6.412,-18387
6.416,-18387
6.420,-18387
6.424,-18387
6.428,-18387
6.432,-18387
6.436,-18387
6.440,-18387
6.444,-18387
6.448,-18387
6.452,-18457
6.456,-18457
6.460,-18457
6.464,-18457
6.468,-18457
6.472,-18457
6.476,-18457
6.480,-18457
6.484,-18457
6.488,-18474
6.492,-18474
6.496,-18474
6.500,-18474
6.504,-18474
6.508,-18474
6.512,-18474
6.516,-18474
6.520,-18474
6.524,-18474
6.528,-18532
6.532,-18532
6.536,-18532
6.540,-18532
6.544,-18532
6.548,-18532
6.552,-18532
6.556,-18532
6.560,-18532
6.564,-18532
6.568,-18532
6.572,-18532
6.576,-18532
6.580,-18532
6.584,-18532
6.588,-18532
6.592,-18532
6.596,-18532
6.600,-18532
6.604,-18549
6.608,-18549
6.612,-18549
6.616,-18549
6.620,-18549
6.624,-18549
6.628,-18549
6.632,-18549
6.636,-18549
6.640,-18541
6.644,-18541
6.648,-18541
6.652,-18541
6.656,-18541
6.660,-18541
6.664,-18541
6.668,-18541
6.672,-18541
6.676,-18541
6.680,-18561
6.684,-18561
6.688,-18561
6.692,-18561
6.696,-18561
6.700,-18561
6.704,-18561
6.708,-18561
6.712,-18561
6.716,-18561
6.720,-18570
6.724,-18570
6.728,-18570
6.732,-18570
6.736,-18570
6.740,-18570
6.744,-18570
6.748,-18570
6.752,-18570
6.756,-18614
6.760,-18614
6.764,-18614
6.768,-18614
6.772,-18614
6.776,-18614
6.780,-18614
6.784,-18614
6.788,-18614
6.792,-18614
6.796,-18597
6.800,-18597
6.804,-18597
6.808,-18597
6.812,-18597
6.816,-18597
6.820,-18597
6.824,-18597
6.828,-18597
6.832,-18641
6.836,-18641
6.840,-18641
6.844,-18641
6.848,-18641
6.852,-18641
6.856,-18641
6.860,-18641
6.864,-18641
6.868,-18641
6.872,-18649
6.876,-18649
6.880,-18649
6.884,-18649
6.888,-18649
6.892,-18649
6.896,-18649
6.900,-18649
6.904,-18649
6.908,-18652
6.912,-18652
6.916,-18652
6.920,-18652
6.924,-18652
6.928,-18652
6.932,-18652
6.936,-18652
6.940,-18652
6.944,-18652
