Czas_Wzgledny(s),EKG_Surowe(mV),PPG_Surowe(ADC)
2.062,-1.802,3126
2.064,-1.647,3126
2.066,-1.377,3126
2.068,-1.012,3124
2.070,-0.585,3124
2.072,-0.172,3124
2.074,0.263,3124
2.076,0.657,3124
2.078,0.907,3124
2.080,1.048,3124
2.082,0.907,3124
2.084,0.627,3124
2.086,0.258,3121
2.088,-0.170,3121
2.090,-0.593,3121
2.092,-1.030,3121
2.094,-1.420,3121
2.096,-1.698,3121
2.098,-1.843,3121
2.100,-1.843,3121
2.102,-1.688,3121
2.104,-1.413,3121
2.106,-1.028,3128
2.108,-0.605,3128
2.110,-0.180,3128
2.112,0.258,3128
2.114,0.637,3128
2.116,0.917,3128
2.118,1.062,3128
2.120,0.887,3128
2.122,0.627,3128
2.124,0.273,3133
2.126,-0.142,3133
2.128,-0.573,3133
2.130,-1.002,3133
2.132,-1.385,3133
2.134,-1.663,3133
2.136,-1.808,3133
2.138,-1.802,3133
2.140,-1.655,3133
2.142,-1.383,3133
2.144,-1.018,3138
2.146,-0.603,3138
2.148,-0.177,3138
2.150,0.253,3138
2.152,0.627,3138
2.154,0.897,3138
2.156,1.038,3138
2.158,1.038,3138
2.160,0.550,3138
2.162,0.237,3133
2.164,-0.182,3133
2.166,-0.605,3133
2.168,-1.022,3133
2.170,-1.403,3133
2.172,-1.673,3133
2.174,-1.817,3133
2.176,-1.815,3133
2.178,-1.673,3133
2.180,-1.405,3133
2.182,-1.028,3121
2.184,-0.618,3121
2.186,-0.207,3121
2.188,0.233,3121
2.190,0.608,3121
2.192,0.877,3121
2.194,1.020,3121
2.196,1.028,3121
2.198,0.887,3121
2.200,0.180,3138
2.202,-0.583,3138
2.204,-1.010,3138
2.206,-1.385,3138
2.208,-1.660,3138
2.210,-1.790,3138
2.212,-1.808,3138
2.214,-1.653,3138
2.216,-1.380,3138
2.218,-1.010,3132
2.220,-0.598,3132
2.222,-0.172,3132
2.224,0.258,3132
2.226,0.630,3132
2.228,0.900,3132
2.230,1.038,3132
2.232,1.040,3132
2.234,0.892,3132
2.236,0.608,3132
2.238,0.237,3138
2.240,-0.690,3138
2.242,-1.042,3138
2.244,-1.425,3138
2.246,-1.698,3138
2.248,-1.840,3138
2.250,-1.845,3138
2.252,-1.698,3138
2.254,-1.417,3138
2.256,-1.050,3125
2.258,-0.647,3125
2.260,-0.217,3125
2.262,0.220,3125
2.264,0.598,3125
2.266,0.875,3125
2.268,1.022,3125
2.270,1.032,3125
2.272,0.892,3125
2.274,0.615,3125
2.276,0.253,3131
2.278,-0.172,3131
2.280,-1.077,3131
2.282,-1.395,3131
2.284,-1.673,3131
2.286,-1.815,3131
2.288,-1.823,3131
2.290,-1.685,3131
2.292,-1.407,3131
2.294,-1.042,3123
2.296,-0.623,3123
2.298,-0.207,3123
2.300,0.230,3123
2.302,0.608,3123
2.304,0.887,3123
2.306,1.032,3123
2.308,1.048,3123
2.310,0.905,3123
2.312,0.630,3123
2.314,0.263,3119
2.316,-0.172,3119
2.318,-0.578,3119
2.320,-1.458,3119
2.322,-1.670,3119
2.324,-1.817,3119
2.326,-1.785,3119
2.328,-1.673,3119
2.330,-1.393,3119
2.332,-1.020,3127
2.334,-0.608,3127
2.336,-0.182,3127
2.338,0.250,3127
2.340,0.623,3127
2.342,0.907,3127
2.344,1.052,3127
2.346,1.067,3127
2.348,0.917,3127
2.350,0.637,3127
2.352,0.268,3130
2.354,-0.147,3130
2.356,-0.573,3130
2.358,-1.002,3130
2.360,-1.688,3130
2.362,-1.802,3130
2.364,-1.792,3130
2.366,-1.653,3130
2.368,-1.373,3130
2.370,-1.010,3130
2.372,-0.608,3115
2.374,-0.177,3115
2.376,0.247,3115
2.378,0.623,3115
